Марка;Ссылка;Цена в $;Цена в грн;Город
Skoda Kamiq 2021 Ambition 1.6 MPI MT (110 л.с.);https://auto.ria.com/newauto/auto-skoda-kamiq-1859530.html;20 840 $;577 700 грн;Полтава 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1860497.html;27 166 $;753 059 грн;Полтава 
Skoda Karoq 2021 Style 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1858094.html;27 233 $;754 900 грн;Ивано-Франковск 
Skoda Scala 2020 Style 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1859748.html;23 827 $;677 020 грн;Днепр (Днепропетровск) 
Skoda Scala 2020 Ambition 1.5 TSI DSG (150 л.с.);https://auto.ria.com/newauto/auto-skoda-scala-1840866.html;23 266 $;644 950 грн;Ивано-Франковск 
Skoda Kodiaq 2021 Style 2.0 TDI AT (150 л.с.) 4x4;https://auto.ria.com/newauto/auto-skoda-kodiaq-1817765.html;38 167 $;1 055 300 грн;Кропивницкий (Кировоград) 
Skoda Octavia 2020 Ambition A7 New 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1859739.html;22 957 $;652 300 грн;Днепр (Днепропетровск) 
Skoda Fabia 2020 Ambition 1.0 TSI MT (95 л.с.);https://auto.ria.com/newauto/auto-skoda-fabia-1859613.html;15 900 $;451 783 грн;Днепр (Днепропетровск) 
Skoda Octavia 2020 Ambition 1.5 TSI MT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1847196.html;24 834 $;688 400 грн;Ивано-Франковск 
Skoda Karoq 2021 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-karoq-1854370.html;24 880 $;708 234 грн;Полтава 
Skoda Octavia 2020 Ambition 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1854431.html;25 237 $;699 588 грн;Полтава 
Skoda Octavia 2020 Individual 1.4 TSI AT (150 л.с.);https://auto.ria.com/newauto/auto-skoda-octavia-1858527.html;25 216 $; 25 901 $;Тернополь 
